referrer,views_total,views_unique
Google,1864,681
maplibre.org,1106,322
github.com,908,196
DuckDuckGo,88,35
Bing,77,26
chatgpt.com,65,26
wiki.openstreetmap.org,33,18
gitlab.com,31,1
Baidu,23,9
search.brave.com,21,8
