referrer,views_total,views_unique
Google,2962,587
maplibre.org,2358,340
github.com,1207,209
Bing,172,38
DuckDuckGo,99,27
cn.bing.com,65,19
edgeservices.bing.com,47,1
wiki.openstreetmap.org,42,13
pub.dev,28,11
search.brave.com,25,6
