url_path,views_total,views_unique
/maplibre/maplibre-native,2290,1117
/maplibre/maplibre-native/issues,625,137
/maplibre/maplibre-native/releases,381,188
/maplibre/maplibre-native/pulls,224,62
/maplibre/maplibre-native/tree/main/platform,201,118
/maplibre/maplibre-native/tree/main/platform/android,177,96
/maplibre/maplibre-native/tree/main,117,58
/maplibre/maplibre-native/commits/main,86,16
/maplibre/maplibre-native/tags,78,25
/maplibre/maplibre-native/tree/main/platform/android/MapLibreAndroidTestApp,70,41
