referrer,views_total,views_unique
maplibre.org,917,460
github.com,916,295
Google,883,406
Bing,71,26
DuckDuckGo,40,19
chatgpt.com,30,20
search.brave.com,25,8
wiki.openstreetmap.org,20,13
mvnrepository.com,20,5
link.gitcode.com,19,2
