referrer,views_total,views_unique
Google,2659,832
maplibre.org,2019,491
github.com,849,197
chatgpt.com,117,41
DuckDuckGo,112,25
bgithub.xyz,110,1
Bing,78,24
wiki.openstreetmap.org,43,29
pub.dev,41,24
worldwind.arc.nasa.gov,32,1
