referrer,views_total,views_unique
github.com,961,336
maplibre.org,955,443
Google,795,431
chatgpt.com,41,22
Bing,29,20
pub.dev,29,19
yandex.ru,28,3
wiki.openstreetmap.org,20,13
teams.public.onecdn.static.microsoft,19,6
search.brave.com,17,6
