time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-11 00:00:00+00:00,462,83,1009,283
2026-02-12 00:00:00+00:00,1213,146,816,231
2026-02-13 00:00:00+00:00,666,88,303,142
2026-02-14 00:00:00+00:00,325,124,271,131
2026-02-15 00:00:00+00:00,295,128,435,123
2026-02-16 00:00:00+00:00,1606,201,430,161
2026-02-17 00:00:00+00:00,668,129,706,196
2026-02-18 00:00:00+00:00,604,106,805,224
2026-02-19 00:00:00+00:00,536,83,675,216
2026-02-20 00:00:00+00:00,767,126,534,205
2026-02-21 00:00:00+00:00,1076,129,1216,129
2026-02-22 00:00:00+00:00,177,111,227,114
2026-02-23 00:00:00+00:00,865,164,690,206
2026-02-24 00:00:00+00:00,1172,152,865,249
