referrer,views_total,views_unique
Google,2604,605
maplibre.org,1949,280
github.com,1075,207
Bing,81,22
cn.bing.com,62,7
ecosia.org,49,1
pub.dev,48,17
npmjs.com,44,13
chatgpt.com,35,15
docs.locationiq.com,31,3
