referrer,views_total,views_unique
Google,1932,694
maplibre.org,1277,330
github.com,930,201
Bing,98,32
DuckDuckGo,89,35
chatgpt.com,57,23
gitlab.com,38,1
pub.dev,34,11
Baidu,30,11
wiki.openstreetmap.org,29,16
