referrer,views_total,views_unique
Google,1852,714
maplibre.org,1833,660
github.com,881,204
chatgpt.com,127,21
Bing,111,35
bgithub.xyz,66,2
DuckDuckGo,58,29
search.brave.com,58,11
Baidu,56,12
pub.dev,39,25
