referrer,views_total,views_unique
github.com,1200,309
maplibre.org,1064,539
Google,811,419
Bing,59,35
DuckDuckGo,52,20
chatgpt.com,44,24
search.brave.com,23,10
wiki.openstreetmap.org,19,10
Baidu,17,9
pub.dev,14,12
