referrer,views_total,views_unique
Google,2852,601
maplibre.org,1798,239
github.com,1101,199
Bing,149,21
DuckDuckGo,63,18
npmjs.com,61,18
statics.teams.cdn.office.net,44,8
pub.dev,41,14
search.brave.com,37,7
wiki.openstreetmap.org,27,10
