referrer,views_total,views_unique
Google,1547,575
github.com,1424,319
maplibre.org,1251,515
Baidu,59,10
pub.dev,46,31
search.brave.com,46,15
Bing,45,16
DuckDuckGo,43,26
chatgpt.com,37,14
wiki.openstreetmap.org,30,17
