referrer,views_total,views_unique
Google,1923,601
maplibre.org,1211,333
github.com,527,154
search.brave.com,93,8
Bing,45,25
chatgpt.com,33,21
DuckDuckGo,33,19
wiki.openstreetmap.org,29,20
pub.dev,28,12
npmjs.com,21,7
