referrer,views_total,views_unique
Google,2266,841
maplibre.org,2080,707
github.com,730,215
Bing,193,42
chatgpt.com,120,26
DuckDuckGo,78,34
qwant.com,57,2
bgithub.xyz,55,2
search.brave.com,49,16
pub.dev,36,29
