referrer,views_total,views_unique
Google,2200,847
maplibre.org,1541,546
github.com,853,198
chatgpt.com,135,60
DuckDuckGo,102,14
Bing,99,35
wiki.openstreetmap.org,69,28
pub.dev,62,33
yandex.ru,39,10
gitcode.com,33,1
