time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-28 00:00:00+00:00,580,94,1030,324
2026-01-29 00:00:00+00:00,199,94,857,267
2026-01-30 00:00:00+00:00,215,100,920,296
2026-01-31 00:00:00+00:00,134,24,359,163
2026-02-01 00:00:00+00:00,521,80,322,166
2026-02-02 00:00:00+00:00,499,73,885,273
2026-02-03 00:00:00+00:00,227,90,903,303
2026-02-04 00:00:00+00:00,427,104,1039,293
2026-02-05 00:00:00+00:00,390,141,1068,300
2026-02-06 00:00:00+00:00,582,194,892,262
2026-02-07 00:00:00+00:00,236,113,340,165
2026-02-08 00:00:00+00:00,388,204,392,149
2026-02-09 00:00:00+00:00,418,79,739,248
2026-02-10 00:00:00+00:00,342,86,873,269
