referrer,views_total,views_unique
Google,2490,867
maplibre.org,1783,546
github.com,956,214
bgithub.xyz,255,2
Bing,92,36
chatgpt.com,81,34
wiki.openstreetmap.org,79,38
DuckDuckGo,60,21
pub.dev,34,27
t.co,20,8
