referrer,views_total,views_unique
Google,2517,581
maplibre.org,1650,250
github.com,967,197
Bing,131,18
yandex.ru,66,5
search.brave.com,63,7
npmjs.com,52,15
statics.teams.cdn.office.net,45,8
DuckDuckGo,39,13
maptiler.com,38,1
