referrer,views_total,views_unique
Google,2499,722
maplibre.org,1069,317
github.com,906,189
Bing,103,31
statics.teams.cdn.office.net,76,7
DuckDuckGo,61,19
npmjs.com,48,16
awesome.ecosyste.ms,45,1
chatgpt.com,43,21
yandex.ru,30,12
