referrer,views_total,views_unique
github.com,1622,374
Google,1424,518
maplibre.org,1411,448
Bing,152,41
DuckDuckGo,56,20
pub.dev,38,20
wiki.openstreetmap.org,38,19
chatgpt.com,36,15
Baidu,31,7
search.brave.com,27,15
