referrer,views_total,views_unique
Google,1950,659
maplibre.org,1118,382
github.com,975,192
Bing,109,32
chatgpt.com,79,22
DuckDuckGo,67,22
statics.teams.cdn.office.net,39,12
cn.bing.com,38,16
staticsint.teams.cdn.office.net,25,4
yandex.ru,24,4
