time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-06 00:00:00+00:00,92,6,319,85
2024-10-07 00:00:00+00:00,555,11,1272,210
2024-10-08 00:00:00+00:00,243,8,1205,211
2024-10-09 00:00:00+00:00,227,13,1070,286
2024-10-10 00:00:00+00:00,317,9,1022,201
2024-10-11 00:00:00+00:00,424,8,1046,223
2024-10-12 00:00:00+00:00,12,7,475,107
2024-10-13 00:00:00+00:00,11,4,205,81
2024-10-14 00:00:00+00:00,188,13,1198,204
2024-10-15 00:00:00+00:00,312,19,1358,248
2024-10-16 00:00:00+00:00,200,13,1157,263
2024-10-17 00:00:00+00:00,88,15,1000,210
2024-10-18 00:00:00+00:00,467,11,827,199
2024-10-19 00:00:00+00:00,49,3,285,75
