referrer,views_total,views_unique
Google,2623,792
maplibre.org,2143,921
github.com,948,198
yandex.ru,170,15
chatgpt.com,157,69
DuckDuckGo,55,23
Bing,46,15
search.brave.com,33,13
pub.dev,32,24
wiki.openstreetmap.org,32,23
