referrer,views_total,views_unique
Google,2297,719
maplibre.org,1896,410
github.com,907,209
redmine.navigine.com,76,1
chatgpt.com,61,24
sim.amazon.com,50,3
DuckDuckGo,49,19
npmjs.com,49,10
gitlab.com,45,1
wiki.openstreetmap.org,44,31
