time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-31 00:00:00+00:00,61,33,274,99
2025-06-01 00:00:00+00:00,205,38,359,96
2025-06-02 00:00:00+00:00,313,60,915,217
2025-06-03 00:00:00+00:00,806,73,1062,224
2025-06-04 00:00:00+00:00,711,87,1726,286
2025-06-05 00:00:00+00:00,435,58,1293,282
2025-06-06 00:00:00+00:00,602,66,976,224
2025-06-07 00:00:00+00:00,293,30,372,112
2025-06-08 00:00:00+00:00,74,12,273,95
2025-06-09 00:00:00+00:00,84,23,944,218
2025-06-10 00:00:00+00:00,289,50,1046,243
2025-06-11 00:00:00+00:00,1255,91,3174,260
2025-06-12 00:00:00+00:00,286,53,1065,228
2025-06-13 00:00:00+00:00,296,72,1079,202
