referrer,views_total,views_unique
Google,1912,740
maplibre.org,1814,651
github.com,837,201
chatgpt.com,127,21
Bing,109,33
bgithub.xyz,72,2
Baidu,55,11
search.brave.com,52,12
DuckDuckGo,50,25
pub.dev,40,26
