referrer,views_total,views_unique
Google,2498,763
maplibre.org,1632,501
github.com,1063,232
bgithub.xyz,220,3
chatgpt.com,94,34
Bing,57,21
pub.dev,46,24
DuckDuckGo,43,22
cn.bing.com,37,10
wiki.openstreetmap.org,35,27
