referrer,views_total,views_unique
Google,2390,626
maplibre.org,1676,267
github.com,1080,157
Bing,168,39
yandex.ru,78,7
DuckDuckGo,52,19
search.brave.com,50,4
cn.bing.com,45,16
npmjs.com,40,11
maptiler.com,38,1
