url_path,views_total,views_unique
/maplibre/maplibre-native,1613,741
/maplibre/maplibre-native/issues,490,153
/maplibre/maplibre-native/releases,344,117
/maplibre/maplibre-native/blob/main/platform/android/README.md,342,90
/maplibre/maplibre-native/tree/main/platform,317,84
/maplibre/maplibre-native/blob/main/platform/ios/README.md,263,66
/maplibre/maplibre-native/tree/main/platform/android,245,65
/maplibre/maplibre-native/pulls,212,59
/maplibre/maplibre-native/tree/main/platform/ios,150,34
/maplibre/maplibre-native/blob/main/platform/windows/README.md,149,48
