referrer,views_total,views_unique
Google,2951,610
maplibre.org,2208,302
github.com,1465,218
DuckDuckGo,231,30
Bing,173,36
cn.bing.com,74,19
npmjs.com,64,10
wiki.openstreetmap.org,52,15
qiita.com,49,5
edgeservices.bing.com,48,1
