referrer,views_total,views_unique
Google,1568,580
maplibre.org,1288,503
github.com,1246,333
pub.dev,50,31
DuckDuckGo,48,28
search.brave.com,45,18
chatgpt.com,32,13
wiki.openstreetmap.org,27,16
Bing,25,10
Baidu,12,7
