referrer,views_total,views_unique
Google,2481,833
maplibre.org,1930,480
github.com,908,213
bgithub.xyz,132,2
chatgpt.com,112,39
Bing,71,20
pub.dev,46,20
DuckDuckGo,42,23
wiki.openstreetmap.org,37,29
npmjs.com,28,11
