referrer,views_total,views_unique
github.com,1921,548
maplibre.org,1368,654
Google,1082,471
chatgpt.com,93,50
Bing,54,31
mvnrepository.com,45,4
search.brave.com,43,16
DuckDuckGo,36,19
teams.public.onecdn.static.microsoft,20,11
pub.dev,19,14
