time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-16 00:00:00+00:00,1108,563,467,147
2026-06-17 00:00:00+00:00,535,233,656,194
2026-06-18 00:00:00+00:00,861,347,696,189
2026-06-19 00:00:00+00:00,2063,1069,581,169
2026-06-20 00:00:00+00:00,1304,656,213,110
2026-06-21 00:00:00+00:00,2333,920,172,93
2026-06-22 00:00:00+00:00,2013,749,650,212
2026-06-23 00:00:00+00:00,2250,852,750,239
2026-06-24 00:00:00+00:00,1773,772,516,195
2026-06-25 00:00:00+00:00,1373,406,563,201
2026-06-26 00:00:00+00:00,543,253,550,175
2026-06-27 00:00:00+00:00,4945,163,328,126
2026-06-28 00:00:00+00:00,872,571,254,107
2026-06-29 00:00:00+00:00,997,301,418,189
