time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-11 00:00:00+00:00,410,110,3677,3369
2026-04-12 00:00:00+00:00,380,187,596,142
2026-04-13 00:00:00+00:00,973,122,553,215
2026-04-14 00:00:00+00:00,689,123,1011,258
2026-04-15 00:00:00+00:00,695,115,964,258
2026-04-16 00:00:00+00:00,482,126,678,288
2026-04-17 00:00:00+00:00,1656,256,646,195
2026-04-18 00:00:00+00:00,634,308,349,119
2026-04-19 00:00:00+00:00,413,219,275,102
2026-04-20 00:00:00+00:00,966,310,764,286
2026-04-21 00:00:00+00:00,1456,470,827,231
2026-04-22 00:00:00+00:00,1835,371,697,225
2026-04-23 00:00:00+00:00,982,209,784,214
2026-04-24 00:00:00+00:00,1039,248,566,200
