referrer,views_total,views_unique
Google,2275,829
maplibre.org,2088,716
github.com,745,223
Bing,192,41
chatgpt.com,94,24
DuckDuckGo,78,33
bgithub.xyz,63,2
qwant.com,58,3
pub.dev,40,30
search.brave.com,40,15
