time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-29 00:00:00+00:00,30,5,413,62
2024-06-30 00:00:00+00:00,5,2,390,61
2024-07-01 00:00:00+00:00,135,12,1495,201
2024-07-02 00:00:00+00:00,181,6,1472,197
2024-07-03 00:00:00+00:00,98,6,1364,193
2024-07-04 00:00:00+00:00,130,9,1253,174
2024-07-05 00:00:00+00:00,35,5,773,138
2024-07-06 00:00:00+00:00,33,8,901,98
2024-07-07 00:00:00+00:00,12,4,419,72
2024-07-08 00:00:00+00:00,120,9,1792,222
2024-07-09 00:00:00+00:00,51,5,1311,217
2024-07-10 00:00:00+00:00,290,12,1759,232
2024-07-11 00:00:00+00:00,371,14,1774,245
2024-07-12 00:00:00+00:00,323,7,1254,210
2024-07-13 00:00:00+00:00,39,6,524,91
2024-07-14 00:00:00+00:00,55,6,402,82
2024-07-15 00:00:00+00:00,423,9,1640,276
2024-07-16 00:00:00+00:00,258,11,1155,211
2024-07-17 00:00:00+00:00,429,3,1780,210
2024-07-18 00:00:00+00:00,331,8,1141,214
2024-07-19 00:00:00+00:00,241,11,1427,190
2024-07-20 00:00:00+00:00,4,2,389,71
2024-07-21 00:00:00+00:00,4,4,623,85
2024-07-22 00:00:00+00:00,413,7,1165,198
2024-07-23 00:00:00+00:00,192,10,1522,209
2024-07-24 00:00:00+00:00,686,16,1638,220
2024-07-25 00:00:00+00:00,260,4,1454,211
2024-07-26 00:00:00+00:00,201,7,1184,181
2024-07-27 00:00:00+00:00,156,4,322,66
2024-07-28 00:00:00+00:00,36,4,593,73
2024-07-29 00:00:00+00:00,466,10,1656,218
2024-07-30 00:00:00+00:00,428,12,1431,206
2024-07-31 00:00:00+00:00,789,15,1597,202
2024-08-01 00:00:00+00:00,567,8,1042,201
2024-08-02 00:00:00+00:00,623,6,1398,172
2024-08-03 00:00:00+00:00,154,4,471,91
2024-08-04 00:00:00+00:00,59,4,291,66
2024-08-05 00:00:00+00:00,491,9,1280,178
2024-08-06 00:00:00+00:00,625,10,1334,208
2024-08-07 00:00:00+00:00,978,14,1177,189
2024-08-08 00:00:00+00:00,214,10,1162,176
2024-08-09 00:00:00+00:00,524,7,932,180
2024-08-10 00:00:00+00:00,419,2,306,101
2024-08-11 00:00:00+00:00,68,7,365,72
2024-08-12 00:00:00+00:00,492,9,984,191
2024-08-13 00:00:00+00:00,317,9,936,213
2024-08-14 00:00:00+00:00,400,7,1459,190
2024-08-15 00:00:00+00:00,302,11,900,155
2024-08-16 00:00:00+00:00,619,5,1313,157
2024-08-17 00:00:00+00:00,221,3,245,76
2024-08-18 00:00:00+00:00,11,3,572,99
2024-08-19 00:00:00+00:00,306,10,1353,237
2024-08-20 00:00:00+00:00,426,9,1092,201
2024-08-21 00:00:00+00:00,618,11,965,194
2024-08-22 00:00:00+00:00,456,9,1098,184
2024-08-23 00:00:00+00:00,791,9,1313,182
2024-08-24 00:00:00+00:00,185,2,341,73
2024-08-25 00:00:00+00:00,93,3,390,101
2024-08-26 00:00:00+00:00,995,15,1111,193
2024-08-27 00:00:00+00:00,649,10,1286,204
2024-08-28 00:00:00+00:00,364,9,1060,210
