time_iso8601,forks_cumulative
2023-07-28 00:00:00+00:00,185
2023-08-01 00:00:00+00:00,187
2023-08-06 00:00:00+00:00,188
2023-08-08 00:00:00+00:00,189
2023-08-14 00:00:00+00:00,190
2023-08-20 00:00:00+00:00,191
2023-09-08 00:00:00+00:00,192
2023-09-14 00:00:00+00:00,193
2023-09-17 00:00:00+00:00,194
2023-09-26 00:00:00+00:00,195
2023-09-30 00:00:00+00:00,196
2023-10-12 00:00:00+00:00,198
2023-10-13 00:00:00+00:00,199
2023-10-17 00:00:00+00:00,200
2023-10-25 00:00:00+00:00,201
2023-10-31 00:00:00+00:00,203
2023-11-01 00:00:00+00:00,204
2023-11-09 00:00:00+00:00,205
2023-11-10 00:00:00+00:00,206
2023-11-11 00:00:00+00:00,207
2023-11-14 00:00:00+00:00,208
2023-11-28 00:00:00+00:00,210
2023-12-11 00:00:00+00:00,211
2023-12-28 00:00:00+00:00,212
2024-01-01 00:00:00+00:00,213
2024-01-04 00:00:00+00:00,214
2024-01-15 00:00:00+00:00,216
2024-01-16 00:00:00+00:00,217
2024-01-18 00:00:00+00:00,218
2024-01-22 00:00:00+00:00,219
2024-01-27 00:00:00+00:00,221
2024-01-28 00:00:00+00:00,222
2024-01-30 00:00:00+00:00,223
2024-02-01 00:00:00+00:00,224
2024-02-02 00:00:00+00:00,225
2024-02-11 00:00:00+00:00,226
2024-02-15 00:00:00+00:00,227
2024-02-26 00:00:00+00:00,228
2024-03-12 00:00:00+00:00,229
2024-03-13 00:00:00+00:00,230
2024-03-15 00:00:00+00:00,231
2024-03-29 00:00:00+00:00,232
2024-03-31 00:00:00+00:00,233
2024-04-01 00:00:00+00:00,234
2024-04-15 00:00:00+00:00,235
2024-04-16 00:00:00+00:00,237
2024-04-18 00:00:00+00:00,238
2024-04-21 00:00:00+00:00,239
2024-04-23 00:00:00+00:00,240
2024-04-26 00:00:00+00:00,241
2024-04-30 00:00:00+00:00,242
2024-05-01 00:00:00+00:00,243
2024-05-05 00:00:00+00:00,244
2024-05-07 00:00:00+00:00,245
2024-05-13 00:00:00+00:00,248
2024-05-15 00:00:00+00:00,249
2024-05-16 00:00:00+00:00,250
2024-05-23 00:00:00+00:00,251
2024-05-29 00:00:00+00:00,252
2024-06-03 00:00:00+00:00,253
2024-06-05 00:00:00+00:00,254
2024-06-11 00:00:00+00:00,255
2024-06-20 00:00:00+00:00,256
2024-06-24 00:00:00+00:00,259
2024-06-28 00:00:00+00:00,260
2024-07-01 00:00:00+00:00,261
2024-07-02 00:00:00+00:00,262
2024-07-03 00:00:00+00:00,263
2024-07-05 00:00:00+00:00,265
2024-07-10 00:00:00+00:00,266
2024-07-11 00:00:00+00:00,268
2024-07-14 00:00:00+00:00,269
2024-07-15 00:00:00+00:00,270
2024-07-18 00:00:00+00:00,271
2024-07-22 00:00:00+00:00,272
2024-07-26 00:00:00+00:00,273
2024-07-30 00:00:00+00:00,274
2024-07-31 00:00:00+00:00,275
2024-08-07 00:00:00+00:00,276
2024-08-08 00:00:00+00:00,278
2024-08-12 00:00:00+00:00,280
2024-08-14 00:00:00+00:00,282
2024-08-23 00:00:00+00:00,283
2024-08-30 00:00:00+00:00,284
2024-09-04 00:00:00+00:00,285
