referrer,views_total,views_unique
github.com,54,8
Google,48,27
map-service.mapxus.com,20,1
swiftpackageindex.com,18,2
docs.maptiler.com,14,7
maplibre.org,13,3
docs.mapbox.com,1,1
Baidu,1,1
