referrer,views_total,views_unique
Google,31,15
dev.azure.com,11,1
teams.public.onecdn.static.microsoft,7,2
github.com,6,5
swiftpackageregistry.com,4,1
swiftpackageindex.com,3,2
Bing,3,1
DuckDuckGo,1,1
