referrer,views_total,views_unique
chatgpt.com,45,18
Google,32,17
maplibre.org,12,5
swiftpackageindex.com,6,2
github.com,4,4
yandex.ru,2,1
docs.maptiler.com,1,1
Bing,1,1
perplexity.ai,1,1
