referrer,views_total,views_unique
Google,40,19
maplibre.org,12,5
github.com,12,4
statics.teams.cdn.office.net,3,3
swiftpackageindex.com,3,2
claude.ai,2,1
Bing,1,1
swiftpackageregistry.com,1,1
