time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-06 00:00:00+00:00,2318,150,3,1
2025-12-07 00:00:00+00:00,644,135,3,2
2025-12-08 00:00:00+00:00,10746,346,8,6
2025-12-09 00:00:00+00:00,10282,380,19,7
2025-12-10 00:00:00+00:00,10061,406,33,11
2025-12-11 00:00:00+00:00,10180,346,49,14
2025-12-12 00:00:00+00:00,7998,317,32,9
2025-12-13 00:00:00+00:00,2123,165,2,2
2025-12-14 00:00:00+00:00,1433,174,33,3
2025-12-15 00:00:00+00:00,10864,379,13,2
2025-12-16 00:00:00+00:00,11298,345,29,10
2025-12-17 00:00:00+00:00,9277,383,21,9
2025-12-18 00:00:00+00:00,2228,313,17,8
2025-12-19 00:00:00+00:00,2909,331,3,2
