url_path,views_total,views_unique
/maplibre/maplibre-gl-native-distribution,80,50
/maplibre/maplibre-gl-native-distribution/releases,19,12
/maplibre/maplibre-gl-native-distribution/blob/main/Package.swift,18,7
/maplibre/maplibre-gl-native-distribution/releases/tag/6.5.3,9,7
/maplibre/maplibre-gl-native-distribution/issues/8,7,4
/maplibre/maplibre-gl-native-distribution/tree/main/MapLibreTest.playground,7,3
/maplibre/maplibre-gl-native-distribution/issues,5,3
/maplibre/maplibre-gl-native-distribution/pulls,5,1
/maplibre/maplibre-gl-native-distribution/fork,4,2
/maplibre/maplibre-gl-native-distribution/tree/main/.github/workflows,4,2
