time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-10 00:00:00+00:00,3523,681,15,10
2026-06-11 00:00:00+00:00,3617,706,20,11
2026-06-12 00:00:00+00:00,3288,617,22,12
2026-06-13 00:00:00+00:00,1434,380,5,4
2026-06-14 00:00:00+00:00,1571,327,3,3
2026-06-15 00:00:00+00:00,3200,696,4,4
2026-06-16 00:00:00+00:00,3666,630,6,3
2026-06-17 00:00:00+00:00,3688,699,7,5
2026-06-18 00:00:00+00:00,3650,685,8,7
2026-06-19 00:00:00+00:00,2799,617,28,9
2026-06-20 00:00:00+00:00,1381,331,5,4
2026-06-21 00:00:00+00:00,1109,321,5,3
2026-06-22 00:00:00+00:00,3542,719,14,8
2026-06-23 00:00:00+00:00,3600,662,20,11
