referrer,views_total,views_unique
Google,30,16
swiftpackageindex.com,30,5
map-service.mapxus.com,4,1
github.com,2,2
docs.maptiler.com,2,2
chatgpt.com,2,2
Baidu,2,2
maplibre.org,2,1
DuckDuckGo,1,1
search.brave.com,1,1
