time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-12 00:00:00+00:00,181,67,4,4
2025-04-13 00:00:00+00:00,134,70,5,4
2025-04-14 00:00:00+00:00,2144,224,12,8
2025-04-15 00:00:00+00:00,2080,211,12,9
2025-04-16 00:00:00+00:00,1865,198,16,6
2025-04-17 00:00:00+00:00,1766,192,9,6
2025-04-18 00:00:00+00:00,1812,162,20,11
2025-04-19 00:00:00+00:00,394,83,12,5
2025-04-20 00:00:00+00:00,215,68,16,2
2025-04-21 00:00:00+00:00,1749,146,21,6
2025-04-22 00:00:00+00:00,2011,214,48,16
2025-04-23 00:00:00+00:00,2120,217,51,18
2025-04-24 00:00:00+00:00,2322,224,34,10
2025-04-25 00:00:00+00:00,1253,190,19,14
