referrer,views_total,views_unique
Google,41,15
github.com,9,6
maplibre.org,9,4
Bing,8,1
docs.atrius.com,5,1
kagi.com,4,1
swiftpackageindex.com,3,3
DuckDuckGo,2,2
chatgpt.com,2,2
