time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-27 00:00:00+00:00,212,90,2,2
2024-05-28 00:00:00+00:00,482,151,16,9
2024-05-29 00:00:00+00:00,541,143,43,16
2024-05-30 00:00:00+00:00,378,131,21,5
2024-05-31 00:00:00+00:00,377,116,19,11
2024-06-01 00:00:00+00:00,53,35,5,2
2024-06-02 00:00:00+00:00,51,24,2,2
2024-06-03 00:00:00+00:00,419,120,12,6
2024-06-04 00:00:00+00:00,428,118,46,18
2024-06-05 00:00:00+00:00,333,106,36,14
2024-06-06 00:00:00+00:00,451,128,45,10
2024-06-07 00:00:00+00:00,353,132,12,9
2024-06-08 00:00:00+00:00,26,18,14,2
2024-06-09 00:00:00+00:00,41,26,1,1
