time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-19 00:00:00+00:00,9525,375,49,12
2025-11-20 00:00:00+00:00,12210,324,18,10
2025-11-21 00:00:00+00:00,12219,304,17,6
2025-11-22 00:00:00+00:00,934,123,31,11
2025-11-23 00:00:00+00:00,2869,128,5,3
2025-11-24 00:00:00+00:00,8423,349,49,12
2025-11-25 00:00:00+00:00,6941,367,30,11
2025-11-26 00:00:00+00:00,9366,369,55,16
2025-11-27 00:00:00+00:00,11987,298,35,15
2025-11-28 00:00:00+00:00,6647,279,48,13
2025-11-29 00:00:00+00:00,555,114,5,2
2025-11-30 00:00:00+00:00,5196,122,6,4
2025-12-01 00:00:00+00:00,16103,374,15,6
2025-12-02 00:00:00+00:00,19761,393,10,6
