time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-30 00:00:00+00:00,108,55,22,4
2024-07-31 00:00:00+00:00,96,59,5,5
2024-08-01 00:00:00+00:00,105,57,35,11
2024-08-02 00:00:00+00:00,90,44,9,5
2024-08-03 00:00:00+00:00,8,7,4,3
2024-08-04 00:00:00+00:00,26,17,10,4
2024-08-05 00:00:00+00:00,141,71,5,5
2024-08-06 00:00:00+00:00,172,73,31,7
2024-08-07 00:00:00+00:00,159,80,25,9
2024-08-08 00:00:00+00:00,174,67,11,4
2024-08-09 00:00:00+00:00,112,50,16,5
2024-08-10 00:00:00+00:00,15,11,15,4
2024-08-11 00:00:00+00:00,14,6,3,2
2024-08-12 00:00:00+00:00,104,52,23,7
