time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-08 00:00:00+00:00,677,65,6,4
2025-03-09 00:00:00+00:00,274,72,6,3
2025-03-10 00:00:00+00:00,1810,193,17,10
2025-03-11 00:00:00+00:00,1979,199,46,17
2025-03-12 00:00:00+00:00,2050,187,16,10
2025-03-13 00:00:00+00:00,1739,180,20,4
2025-03-14 00:00:00+00:00,1630,165,24,6
2025-03-15 00:00:00+00:00,267,79,5,2
2025-03-16 00:00:00+00:00,203,73,4,4
2025-03-17 00:00:00+00:00,1581,181,27,11
2025-03-18 00:00:00+00:00,1837,187,37,13
2025-03-19 00:00:00+00:00,1444,180,5,4
2025-03-20 00:00:00+00:00,1350,184,16,7
2025-03-21 00:00:00+00:00,1478,164,10,9
