referrer,views_total,views_unique
Google,63,29
maplibre.org,24,8
swiftpackageindex.com,13,8
docs.maptiler.com,12,4
github.com,11,5
Bing,9,1
chatgpt.com,3,2
Baidu,3,2
app.bitrise.io,3,1
yandex.ru,2,2
