time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-27 00:00:00+00:00,87,31,12,3
2024-04-28 00:00:00+00:00,60,29,11,4
2024-04-29 00:00:00+00:00,549,181,15,6
2024-04-30 00:00:00+00:00,437,143,5,3
2024-05-01 00:00:00+00:00,360,128,39,8
2024-05-02 00:00:00+00:00,462,158,33,7
2024-05-03 00:00:00+00:00,460,152,37,5
2024-05-04 00:00:00+00:00,45,28,25,3
2024-05-05 00:00:00+00:00,50,28,15,4
2024-05-06 00:00:00+00:00,342,123,20,8
2024-05-07 00:00:00+00:00,401,136,38,11
2024-05-08 00:00:00+00:00,498,163,14,7
2024-05-09 00:00:00+00:00,306,124,16,7
2024-05-10 00:00:00+00:00,298,105,40,9
