referrer,views_total,views_unique
Google,87,21
github.com,20,5
map-service.mapxus.co.jp,19,1
docs.maptiler.com,11,5
swiftpackageindex.com,5,2
DuckDuckGo,4,1
iosexample.com,2,1
swiftpack.co,2,1
Baidu,1,1
