time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-25 00:00:00+00:00,2927,228,14,9
2025-06-26 00:00:00+00:00,2448,196,15,6
2025-06-27 00:00:00+00:00,2404,196,10,6
2025-06-28 00:00:00+00:00,837,85,28,8
2025-06-29 00:00:00+00:00,441,94,21,4
2025-06-30 00:00:00+00:00,2624,233,20,14
2025-07-01 00:00:00+00:00,2034,224,14,8
2025-07-02 00:00:00+00:00,2820,233,22,10
2025-07-03 00:00:00+00:00,2544,216,23,10
2025-07-04 00:00:00+00:00,1690,216,33,15
2025-07-05 00:00:00+00:00,435,100,2,2
2025-07-06 00:00:00+00:00,334,100,1,1
2025-07-07 00:00:00+00:00,2748,239,22,13
2025-07-08 00:00:00+00:00,2833,232,24,8
