url_path,views_total,views_unique
/maplibre/maplibre-gl-native-distribution,81,52
/maplibre/maplibre-gl-native-distribution/releases,24,14
/maplibre/maplibre-gl-native-distribution/issues/4,7,3
/maplibre/maplibre-gl-native-distribution/blob/main/Package.swift,5,4
/maplibre/maplibre-gl-native-distribution/issues,3,3
/maplibre/maplibre-gl-native-distribution/tree/main/MapLibreTest.playground,3,3
/maplibre/maplibre-gl-native-distribution/pulls,3,2
/maplibre/maplibre-gl-native-distribution/issues/13,3,1
/maplibre/maplibre-gl-native-distribution/issues/8,2,2
/maplibre/maplibre-gl-native-distribution/releases/tag/6.6.0,2,2
