referrer,views_total,views_unique
Google,43,21
map-service.mapxus.com,21,2
swiftpackageindex.com,20,4
maplibre.org,14,2
github.com,7,6
docs.maptiler.com,2,2
forums.developer.apple.com,1,1
location.aws.com,1,1
