referrer,views_total,views_unique
Google,40,22
maplibre.org,17,3
chatgpt.com,12,7
swiftpackageindex.com,9,5
github.com,4,4
docs.maptiler.com,4,3
gallimaps.com,1,1
DuckDuckGo,1,1
search.brave.com,1,1
yandex.ru,1,1
