time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-24 00:00:00+00:00,1173,186,6,5
2025-02-25 00:00:00+00:00,1482,204,23,9
2025-02-26 00:00:00+00:00,1549,186,29,9
2025-02-27 00:00:00+00:00,1298,189,31,14
2025-02-28 00:00:00+00:00,1492,204,14,8
2025-03-01 00:00:00+00:00,600,72,1,1
2025-03-02 00:00:00+00:00,203,72,21,7
2025-03-03 00:00:00+00:00,1721,201,52,13
2025-03-04 00:00:00+00:00,1939,196,33,16
2025-03-05 00:00:00+00:00,2007,192,57,13
2025-03-06 00:00:00+00:00,1789,188,32,10
2025-03-07 00:00:00+00:00,1635,181,29,8
2025-03-08 00:00:00+00:00,677,65,6,4
2025-03-09 00:00:00+00:00,265,68,6,3
