referrer,views_total,views_unique
Google,63,26
github.com,31,9
map-service.mapxus.co.jp,19,1
docs.maptiler.com,10,5
DuckDuckGo,6,2
maplibre.org,3,1
swiftpackageindex.com,2,2
swiftpack.co,2,1
t.co,1,1
forums.developer.apple.com,1,1
