time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-05 00:00:00+00:00,141,71,5,5
2024-08-06 00:00:00+00:00,172,73,31,7
2024-08-07 00:00:00+00:00,159,80,25,9
2024-08-08 00:00:00+00:00,174,67,11,4
2024-08-09 00:00:00+00:00,112,50,16,5
2024-08-10 00:00:00+00:00,15,11,15,4
2024-08-11 00:00:00+00:00,14,6,3,2
2024-08-12 00:00:00+00:00,110,54,23,7
2024-08-13 00:00:00+00:00,191,73,21,7
2024-08-14 00:00:00+00:00,137,55,34,8
2024-08-15 00:00:00+00:00,101,43,15,8
2024-08-16 00:00:00+00:00,75,46,18,10
2024-08-17 00:00:00+00:00,21,18,4,3
2024-08-18 00:00:00+00:00,10,10,22,3
